"date","CSI300","600519","600036","300750","000333","600276","600900"
2024-01-05,-0.0301785226027462,-0.0369669511259865,0.0167667122038635,-0.0787406405633382,0.0175992927933093,-0.0752839325054788,0.0170009444549422
2024-01-12,-0.0135922584673711,-0.0122794256600027,0.00882457115691615,0.0244361578494559,-0.0108345715857832,-0.0204696613343014,-0.00888052725094735
2024-01-19,-0.00439156188221723,-0.0049176288333399,0.0408413835712587,0.00173798969032379,0.0205106579087841,0.00751346489843829,-0.00130913437322366
2024-01-26,0.0193976125913622,0.00141820742846299,0.0457053516387171,-0.0321580381283635,0.0241107946388697,-0.0271710601511588,0.0264425771235164
2024-02-02,-0.0473548848079499,-0.0255603916854419,-0.0290349341498795,-0.0270036065901991,0.0127794034547648,-0.114223675952457,0.00624351663968525
2024-02-08,0.0566429516857188,0.0666508089904418,0.0379415844594835,0.109135761911041,0.034412918431685,0.152443833830753,0.0147591489835417
2024-02-23,0.0364206474773745,0.00473079588695313,0.0482208919960572,-0.0144649562940202,-0.0111652988493791,0.0123407390781098,0.0417074626842293
2024-03-01,0.0136783876925168,-0.0170807633181926,-0.0311292590734391,0.0249278284019621,0.0782053822412605,0.00306244378919995,-0.0272749199126974
2024-03-08,0.00200657611877908,-0.00812168769242483,-0.0084819995256078,-0.0406121264097781,0.0249628076418356,-0.0149269897453932,0.0327067637950593
2024-03-15,0.00705086321373827,0.0271844619377486,-0.0156287574703144,0.135904109673265,-0.0319801671185251,0.11786381423067,-0.044304033898892
2024-03-22,-0.00702491084648571,-0.0094419087665667,0.00066533601922103,0.0299653482560966,-0.0221001766933249,-0.0257941414472418,0.0120449477833864
2024-03-29,-0.00212298416789736,0.000910528456872228,0.031533898614474,0.019383558626858,0.0252352140355745,0.000871395246316631,-0.00325021300413386
2024-04-03,0.00853426019805603,0.00714474641324969,0.000912580249607053,0.0386476395976025,0.0383366866123334,-0.0266747913099614,-0.0198407959635256
2024-04-12,-0.0261141114649774,-0.0484282701533392,-0.00338609874471096,-0.0479864545693127,-0.0279670071151665,-0.0150789064622359,0.0392955810884805
2024-04-19,0.0187602197704368,0.00768780529572943,0.0456214846846859,0.0127106246764237,0.0758208416281763,-0.0562117255904369,0.0226416551390987
2024-04-26,0.0119584396052659,0.0374230858922147,0.0252933747862594,0.0394608061379111,-0.023583603590704,0.0901055631890841,-0.0167140856426915
2024-04-30,0.00559910864553359,-0.0025949989744376,-0.00497751096803523,0.0447559450826853,0.0204281900012617,0.0119844630840849,0.008608999937052
2024-05-10,0.0170230490103975,0.0197335539121788,0.0374938818468831,0.00443319282100152,0.0296497623664536,0.00690882468255793,-0.0121173907739642
2024-05-17,0.00318426378637149,-0.0138854653990315,0.0339355349801727,-0.00245166005199682,-0.0121008319069977,-0.0379292935339137,0.0116832687788673
2024-05-24,-0.0210174857709564,-0.0223585955788526,-0.0589571171037706,-0.0100004812383467,-0.0209388116980369,-0.0529997215264144,0.0199899187221853
2024-05-31,-0.00600163329856684,-0.017218977357814,-0.0133295218719383,-0.0161521403476543,-0.02832002334452,-0.00188870552240061,0.0117418178766835
