"code","year","n","beta","se","p","r2"
"600519",2015,243,0.645575518174249,0.0480264063042797,4.10704276096567e-31,0.42849001353901
"600036",2015,238,0.677188171002964,0.0536568207621403,3.00755638926169e-28,0.402959081141888
"000333",2015,240,0.996396949088811,0.0531144114461916,8.17918614466736e-49,0.596553294000292
"600276",2015,243,0.749279600444902,0.0635577805947862,1.25259201796807e-25,0.365755058011185
"600900",2015,141,0.963539755903267,0.0836936584061285,5.88917042751147e-22,0.488109029296479
"600519",2016,244,0.648566500118426,0.0629692838140208,7.26871578021583e-21,0.304766311978987
"600036",2016,244,0.564405940136962,0.0428699472353484,3.25674577555559e-30,0.417332766276085
"000333",2016,234,1.09174526414808,0.0769030560770426,2.42375330620889e-33,0.464867267425202
"600276",2016,243,0.550454041440262,0.046690239101609,1.24753762892363e-25,0.365776190632457
"600900",2016,238,0.394180142744232,0.0357026575845783,4.03454798513257e-23,0.340590014917622
"600519",2017,244,0.946554112998276,0.157209427768103,6.39097461724162e-09,0.130285234090518
"600036",2017,244,1.30748930869868,0.13560243056042,7.93218612161865e-19,0.277546556849897
"000333",2017,244,1.65936674813888,0.155189259808919,4.17072816832304e-22,0.320854886070522
"600276",2017,244,0.793083068303222,0.147726376971981,1.85848705402913e-07,0.106423521436847
"600900",2017,244,0.338285146882188,0.0838433662179101,7.33453136695174e-05,0.0630288385758197
"600519",2018,243,1.22417222647667,0.0725668208716235,1.09138790142209e-42,0.541461517883599
"600036",2018,243,1.02732919539207,0.0632291432412048,1.37204548812439e-40,0.522761213056374
"300750",2018,137,1.14908888301591,0.216845431511565,4.6156359726897e-07,0.172188577593979
"000333",2018,214,1.47279507721786,0.0869581020598396,2.90483481026826e-41,0.575028003687624
"600276",2018,243,1.24910164017717,0.103949430679077,2.24974492381856e-26,0.374667102192671
"600900",2018,243,0.327620542262514,0.0464006084838161,1.76009873886988e-11,0.171403913397346
"600519",2019,244,1.00968324556232,0.0733535163612573,3.15735081982111e-32,0.439119883609767
"600036",2019,244,0.862117195208662,0.0569574530411644,7.22541144911737e-37,0.486312322978573
"300750",2019,244,0.871922677335364,0.0962325674792195,4.49906839373668e-17,0.253303221041321
"000333",2019,233,1.200068536078,0.0636592038661503,1.25871302641796e-48,0.60605569660543
"600276",2019,244,0.863394591457933,0.088349353280664,3.15904981393875e-19,0.282966946356148
"600900",2019,244,0.198838123668858,0.0530531548771115,0.000223052863219815,0.0548602217256462
"600519",2020,243,0.878836191365549,0.0593385011650701,1.00035202163762e-35,0.476488202689333
"600036",2020,243,0.899574483945281,0.0600363199676681,2.59374759265644e-36,0.482294245072959
"300750",2020,243,1.25965223213653,0.129403872394622,4.24562973460777e-19,0.282216874271559
"000333",2020,243,1.01018135849451,0.0700472567957873,2.06788072482035e-34,0.46322481900543
