"code","year","n","beta","se","p","r2"
"600519",2024,242,0.928767390639391,0.0574387969498576,2.80727591430183e-40,0.521396364619872
"600519",2025,243,0.591349883280413,0.0600306923068341,1.86145363213151e-19,0.287062632227877
"600036",2024,242,0.765245437304673,0.0566323426865909,2.55008852224938e-31,0.432071072815698
"600036",2025,243,0.346471100320558,0.0727404755237178,3.29367056590751e-06,0.0860384615895067
"300750",2024,242,1.6023153207349,0.0911739054229184,5.31213617409126e-45,0.562726162151613
"300750",2025,243,1.63243060917837,0.114240636544427,5.77206488497196e-34,0.458654534264257
"000333",2024,242,0.589787779271108,0.0707910786985006,6.17769854448293e-15,0.2243351588637
"000333",2025,243,0.510248464051607,0.0804316433501551,1.09882221556377e-09,0.143095198553606
"600276",2024,242,1.00987592533666,0.0769204613120265,4.89447932658876e-30,0.41799313185822
"600276",2025,243,0.931431106178642,0.117530786478376,8.44186828900088e-14,0.206729499182233
"600900",2024,242,0.12763490841091,0.0527442407898245,0.0162694069930164,0.0238181667175434
"600900",2025,243,0.0810159266107868,0.050066695455067,0.106936097000399,0.0107481270244852
