"code","date","beta","se","lo","hi"
"600276",2025-06-09,0.809797178137718,0.136527886930039,0.542202519754841,1.07739183652059
"600276",2025-06-10,0.803097368880118,0.138008763755021,0.532600191920277,1.07359454583996
"600276",2025-06-11,0.794094923443461,0.138196459784181,0.523229862266466,1.06495998462046
"600276",2025-06-12,0.812236310297438,0.136845982410249,0.54401818477335,1.08045443582153
"600276",2025-06-13,0.828672731785375,0.138803999047279,0.556616893652708,1.10072856991804
"600276",2025-06-16,0.836655001774596,0.139070385677687,0.564077045846329,1.10923295770286
"600276",2025-06-17,0.816111987956787,0.145063052126325,0.53178840578919,1.10043557012438
"600276",2025-06-18,0.812463372982744,0.145090634023628,0.528085730296433,1.09684101566905
"600276",2025-06-19,0.810329060807452,0.14466216441902,0.526791218546174,1.09386690306873
"600276",2025-06-20,0.811835055750087,0.14479709452983,0.528032750471619,1.09563736102855
"600276",2025-06-23,0.812192153559419,0.144728064881143,0.528525146392379,1.09585916072646
"600276",2025-06-24,0.804118082083602,0.144089437895986,0.521702783807469,1.08653338035974
"600276",2025-06-25,0.808345780500014,0.142682824592486,0.528687444298742,1.08800411670129
"600276",2025-06-26,0.813467785168864,0.144030521184344,0.531167963647549,1.09576760669018
"600276",2025-06-27,0.812540576146075,0.143774376800661,0.530742797616779,1.09433835467537
"600276",2025-06-30,0.81162861000255,0.143392014916657,0.530580260765902,1.0926769592392
"600276",2025-07-01,0.812787521271853,0.143544681572535,0.531439945389685,1.09413509715402
"600276",2025-07-02,0.814098355767987,0.143695588577719,0.532455002155657,1.09574170938032
"600276",2025-07-03,0.82201755842961,0.14487610166271,0.538060399170699,1.10597471768852
"600276",2025-07-04,0.830959156883873,0.15054127584729,0.535898256223183,1.12602005754456
"600276",2025-07-07,0.829879401403395,0.151546810377661,0.532847653063179,1.12691114974361
"600276",2025-07-08,0.836817334799409,0.15071325973631,0.541419345716241,1.13221532388258
"600276",2025-07-09,0.840685007270121,0.160166788936624,0.526758100954337,1.1546119135859
"600276",2025-07-10,0.838881357519715,0.159771954660104,0.525728326385912,1.15203438865352
"600276",2025-07-11,0.835169143984313,0.160096428723521,0.521380143686212,1.14895814428241
"600276",2025-07-14,0.834073624495191,0.161344806941497,0.517837802889857,1.15030944610053
"600276",2025-07-15,0.835172628661998,0.161402512552613,0.518823704058877,1.15152155326512
"600276",2025-07-16,0.809968051607005,0.165906138488105,0.48479202017032,1.13514408304369
"600276",2025-07-17,0.806989203564493,0.165883222380276,0.481858087699152,1.13212031942983
"600276",2025-07-18,0.81400564814785,0.16435791650905,0.491864131790112,1.13614716450559
"600276",2025-07-21,0.803732975246069,0.165054040196286,0.480227056461349,1.12723889403079
"600276",2025-07-22,0.778437599969364,0.16293332528822,0.459088282404453,1.09778691753428
"600276",2025-07-23,0.778517268371762,0.162722666573671,0.459580841887368,1.09745369485616
"600276",2025-07-24,0.768796433579633,0.162930556462135,0.449452542913847,1.08814032424542
"600276",2025-07-25,0.779618962456678,0.162903251929326,0.460328588675199,1.09890933623816
"600276",2025-07-28,0.787148179923894,0.182555166071201,0.42934005442434,1.14495630542345
"600276",2025-07-29,0.794537040636049,0.18376561681115,0.434356431686196,1.1547176495859
"600276",2025-07-30,0.787440285356033,0.183862719722908,0.427069354699134,1.14781121601293
"600276",2025-07-31,0.790513858090313,0.181935919853745,0.433919455176973,1.14710826100365
"600276",2025-08-01,0.793366550674669,0.184107972519988,0.432514924535494,1.15421817681385
"600276",2025-08-04,0.797488976610655,0.183724921191253,0.437388131075799,1.15758982214551
"600276",2025-08-05,0.78791390784853,0.18303522040222,0.429164875860179,1.14666293983688
"600276",2025-08-06,0.788477904632213,0.184211884649491,0.427422610719211,1.14953319854521
"600276",2025-08-07,0.790680181859839,0.184804082293866,0.428464180563861,1.15289618315582
"600276",2025-08-08,0.782167134880663,0.185127649143749,0.419316942558915,1.14501732720241
"600276",2025-08-11,0.782135515981156,0.184877567739282,0.419775483212163,1.14449554875015
"600276",2025-08-12,0.773194075543051,0.185582204007677,0.409452955688003,1.1369351953981
"600276",2025-08-13,0.793612866146258,0.18611327563587,0.428830845899954,1.15839488639256
"600276",2025-08-14,0.805953576251985,0.182834733615079,0.44759749836643,1.16430965413754
"600276",2025-08-15,0.777442388542591,0.182289600783687,0.420154771006565,1.13473000607862
"600276",2025-08-18,0.765455744809248,0.182137096230484,0.408467036197498,1.122444453421
