"code","period","n","beta","se","p","r2"
"600519","2015-2017",731,0.660822435371605,0.0353407862088991,4.95435399176161e-64,0.324146927224538
"600036","2015-2017",726,0.681824526410924,0.0337657760720992,2.88742098330879e-72,0.360281578994635
"000333","2015-2017",718,1.05000336897746,0.0391452536212864,2.9978352793104e-110,0.501214692038292
"600276","2015-2017",730,0.706086161226258,0.0385193247672357,5.32905127345716e-62,0.315798822563476
"600900","2015-2017",623,0.642177378165236,0.036124539777803,1.85253034318456e-57,0.337255937831681
"600519","2018-2020",730,1.03398243501271,0.0394582710805597,4.01809892926846e-107,0.485393586243229
"600036","2018-2020",730,0.930447341957387,0.0346920656845097,9.81884045686692e-111,0.497002012465617
"300750","2018-2020",624,1.09417356834557,0.0812352003603138,1.80875992035429e-36,0.225809166288408
"000333","2018-2020",690,1.19874047317925,0.0427687743370459,6.72566273939222e-116,0.533113457848589
"600276","2018-2020",730,0.932049143198532,0.051928583286136,6.39132284162944e-60,0.306768901961816
"600900","2018-2020",730,0.282446391574509,0.0286470207800286,1.30936525477044e-21,0.117800842061004
"600519","2021-2023",727,1.16801946311238,0.0459463505691436,2.00666327542126e-102,0.471283923291503
"600036","2021-2023",727,1.14619545067457,0.0496690420485167,9.00034516641231e-89,0.423473962258616
"300750","2021-2023",727,1.47041039271433,0.0789983260551348,1.67172129044832e-63,0.323347261285089
"000333","2021-2023",727,1.11740492550375,0.0529711471152627,2.17846887045238e-77,0.380332327102105
"600276","2021-2023",727,0.967426296790927,0.0630742354283977,3.41387324429929e-46,0.244989202086972
"600900","2021-2023",716,0.271904847447207,0.0397923707939815,1.78230214252061e-11,0.0613798645157727
"600519","2024-2025",485,0.812221878796514,0.0418026099153509,1.46451919205078e-62,0.438712955784966
"600036","2024-2025",485,0.620352900262158,0.0452037374433085,1.99992993527227e-36,0.280537061137032
"300750","2024-2025",485,1.61255772842624,0.0703997094054363,3.73394805244378e-79,0.520677892607552
"000333","2024-2025",485,0.56208953844637,0.052470834474461,3.60695433504996e-24,0.191977876496613
"600276","2024-2025",485,0.982952209178121,0.0656593108472651,6.73956558549365e-42,0.316943407350605
"600900","2024-2025",485,0.111283579781266,0.0366659208157196,0.00253456210177211,0.0187147962194009
