date,code,close,stock
2023-12-29,600900,83.4,长江电力
2024-01-02,600900,84.62,长江电力
2024-01-03,600900,84.9,长江电力
2024-01-04,600900,85.04,长江电力
2024-01-05,600900,84.83,长江电力
2024-01-08,600900,84.33,长江电力
2024-01-09,600900,84.12,长江电力
2024-01-10,600900,83.4,长江电力
2024-01-11,600900,82.83,长江电力
2024-01-12,600900,84.08,长江电力
2024-01-15,600900,83.97,长江电力
2024-01-16,600900,84.15,长江电力
2024-01-17,600900,83.33,长江电力
2024-01-18,600900,83.33,长江电力
2024-01-19,600900,83.97,长江电力
2024-01-22,600900,83.01,长江电力
2024-01-23,600900,83.08,长江电力
2024-01-24,600900,85.22,长江电力
2024-01-25,600900,85.54,长江电力
2024-01-26,600900,86.22,长江电力
2024-01-29,600900,86.72,长江电力
2024-01-30,600900,86.12,长江电力
2024-01-31,600900,87.19,长江电力
2024-02-01,600900,86.3,长江电力
2024-02-02,600900,86.76,长江电力
2024-02-05,600900,88.48,长江电力
2024-02-06,600900,88.33,长江电力
2024-02-07,600900,88.26,长江电力
2024-02-08,600900,88.05,长江电力
2024-02-19,600900,90.05,长江电力
2024-02-20,600900,91.26,长江电力
2024-02-21,600900,90.73,长江电力
2024-02-22,600900,91.3,长江电力
2024-02-23,600900,91.8,长江电力
2024-02-26,600900,89.15,长江电力
2024-02-27,600900,89.08,长江电力
2024-02-28,600900,90.4,长江电力
2024-02-29,600900,89.51,长江电力
2024-03-01,600900,89.33,长江电力
2024-03-04,600900,90.94,长江电力
2024-03-05,600900,92.69,长江电力
2024-03-06,600900,92.41,长江电力
2024-03-07,600900,92.55,长江电力
2024-03-08,600900,92.3,长江电力
2024-03-11,600900,92.05,长江电力
2024-03-12,600900,88.73,长江电力
2024-03-13,600900,88.94,长江电力
2024-03-14,600900,88.22,长江电力
2024-03-15,600900,88.3,长江电力
2024-03-18,600900,88.15,长江电力
2024-03-19,600900,88.33,长江电力
2024-03-20,600900,89.33,长江电力
2024-03-21,600900,89.12,长江电力
2024-03-22,600900,89.37,长江电力
2024-03-25,600900,89.26,长江电力
2024-03-26,600900,88.76,长江电力
2024-03-27,600900,88.73,长江电力
2024-03-28,600900,88.8,长江电力
2024-03-29,600900,89.08,长江电力
2024-04-01,600900,88.37,长江电力
2024-04-02,600900,88.05,长江电力
2024-04-03,600900,87.33,长江电力
2024-04-08,600900,90.62,长江电力
2024-04-09,600900,89.87,长江电力
2024-04-10,600900,91.58,长江电力
2024-04-11,600900,91.51,长江电力
2024-04-12,600900,90.83,长江电力
2024-04-15,600900,92.51,长江电力
2024-04-16,600900,92.66,长江电力
2024-04-17,600900,92.83,长江电力
2024-04-18,600900,92.73,长江电力
2024-04-19,600900,92.91,长江电力
2024-04-22,600900,92.41,长江电力
2024-04-23,600900,92.08,长江电力
2024-04-24,600900,92.08,长江电力
2024-04-25,600900,91.76,长江电力
2024-04-26,600900,91.37,长江电力
2024-04-29,600900,91.05,长江电力
2024-04-30,600900,92.16,长江电力
2024-05-06,600900,91.01,长江电力
2024-05-07,600900,90.58,长江电力
2024-05-08,600900,90.44,长江电力
2024-05-09,600900,90.62,长江电力
2024-05-10,600900,91.05,长江电力
2024-05-13,600900,91.55,长江电力
2024-05-14,600900,91.41,长江电力
2024-05-15,600900,91.05,长江电力
2024-05-16,600900,90.83,长江电力
2024-05-17,600900,92.12,长江电力
2024-05-20,600900,92.87,长江电力
2024-05-21,600900,93.26,长江电力
2024-05-22,600900,92.83,长江电力
