date,code,close,stock
2023-12-29,600519,13931.99,贵州茅台
2024-01-02,600519,13601.13,贵州茅台
2024-01-03,600519,13673.69,贵州茅台
2024-01-04,600519,13471.9,贵州茅台
2024-01-05,600519,13426.37,贵州茅台
2024-01-08,600519,13270.02,贵州茅台
2024-01-09,600519,13245.88,贵州茅台
2024-01-10,600519,13249.92,贵州茅台
2024-01-11,600519,13290.84,贵州茅台
2024-01-12,600519,13262.51,贵州茅台
2024-01-15,600519,13237.81,贵州茅台
2024-01-16,600519,13233.21,贵州茅台
2024-01-17,600519,12729.29,贵州茅台
2024-01-18,600519,13002.68,贵州茅台
2024-01-19,600519,13197.45,贵州茅台
2024-01-22,600519,13253.96,贵州茅台
2024-01-23,600519,13068.3,贵州茅台
2024-01-24,600519,13124.81,贵州茅台
2024-01-25,600519,13221.67,贵州茅台
2024-01-26,600519,13216.18,贵州茅台
2024-01-29,600519,13318.53,贵州茅台
2024-01-30,600519,13019.87,贵州茅台
2024-01-31,600519,12954.57,贵州茅台
2024-02-01,600519,12995.9,贵州茅台
2024-02-02,600519,12882.65,贵州茅台
2024-02-05,600519,13157.17,贵州茅台
2024-02-06,600519,13528.4,贵州茅台
2024-02-07,600519,13810.83,贵州茅台
2024-02-08,600519,13770.55,贵州茅台
2024-02-19,600519,13685.23,贵州茅台
2024-02-20,600519,13479.97,贵州茅台
2024-02-21,600519,13864.67,贵州茅台
2024-02-22,600519,13870.48,贵州茅台
2024-02-23,600519,13835.85,贵州茅台
2024-02-26,600519,13681.6,贵州茅台
2024-02-27,600519,13637.37,贵州茅台
2024-02-28,600519,13573.2,贵州茅台
2024-02-29,600519,13681.76,贵州茅台
2024-03-01,600519,13601.53,贵州茅台
2024-03-04,600519,13530.82,贵州茅台
2024-03-05,600519,13682.57,贵州茅台
2024-03-06,600519,13565.12,贵州茅台
2024-03-07,600519,13589.99,贵州茅台
2024-03-08,600519,13491.51,贵州茅台
2024-03-11,600519,13677.65,贵州茅台
2024-03-12,600519,14085.35,贵州茅台
2024-03-13,600519,13943.69,贵州茅台
2024-03-14,600519,13856.36,贵州茅台
2024-03-15,600519,13863.3,贵州茅台
2024-03-18,600519,13788.8,贵州茅台
2024-03-19,600519,13786.86,贵州茅台
2024-03-20,600519,13799.61,贵州茅台
2024-03-21,600519,13794.77,贵州茅台
2024-03-22,600519,13733.02,贵州茅台
2024-03-25,600519,13633.41,贵州茅台
2024-03-26,600519,13797.11,贵州茅台
2024-03-27,600519,13730.19,贵州茅台
2024-03-28,600519,13735.36,贵州茅台
2024-03-29,600519,13745.53,贵州茅台
2024-04-01,600519,13894.29,贵州茅台
2024-04-02,600519,13835.05,贵州茅台
2024-04-03,600519,13844.09,贵州茅台
2024-04-08,600519,13453.01,贵州茅台
2024-04-09,600519,13417.17,贵州茅台
2024-04-10,600519,13302.23,贵州茅台
2024-04-11,600519,13302.39,贵州茅台
2024-04-12,600519,13189.62,贵州茅台
2024-04-15,600519,13504.02,贵州茅台
2024-04-16,600519,13479.97,贵州茅台
2024-04-17,600519,13455.75,贵州茅台
2024-04-18,600519,13486.26,贵州茅台
2024-04-19,600519,13291.41,贵州茅台
2024-04-22,600519,13520.81,贵州茅台
2024-04-23,600519,13659.81,贵州茅台
2024-04-24,600519,13670.46,贵州茅台
2024-04-25,600519,13665.94,贵州茅台
2024-04-26,600519,13798.24,贵州茅台
2024-04-29,600519,13754.41,贵州茅台
2024-04-30,600519,13762.48,贵州茅台
2024-05-06,600519,14208.05,贵州茅台
2024-05-07,600519,14287.15,贵州茅台
2024-05-08,600519,14238.48,贵州茅台
2024-05-09,600519,14174.14,贵州茅台
2024-05-10,600519,14036.76,贵州茅台
2024-05-13,600519,13770.55,贵州茅台
2024-05-14,600519,13738.1,贵州茅台
2024-05-15,600519,13722.12,贵州茅台
2024-05-16,600519,13758.45,贵州茅台
2024-05-17,600519,13843.2,贵州茅台
2024-05-20,600519,13794.77,贵州茅台
2024-05-21,600519,13762.48,贵州茅台
2024-05-22,600519,13703.64,贵州茅台
2024-05-23,600519,13657.63,贵州茅台
2024-05-24,600519,13537.12,贵州茅台
2024-05-27,600519,13480.94,贵州茅台
2024-05-28,600519,13436.7,贵州茅台
2024-05-29,600519,13512.25,贵州茅台
2024-05-30,600519,13310.46,贵州茅台
2024-05-31,600519,13306.02,贵州茅台
2024-06-03,600519,13232.89,贵州茅台
2024-06-04,600519,13344.36,贵州茅台
2024-06-05,600519,13270.1,贵州茅台
2024-06-06,600519,13236.28,贵州茅台
2024-06-07,600519,13069.76,贵州茅台
2024-06-11,600519,12664.71,贵州茅台
2024-06-12,600519,12686.34,贵州茅台
2024-06-13,600519,12551.79,贵州茅台
2024-06-14,600519,12551.71,贵州茅台
2024-06-17,600519,12442.74,贵州茅台
2024-06-18,600519,12281.3,贵州茅台
2024-06-19,600519,12366.79,贵州茅台
2024-06-20,600519,12359.37,贵州茅台
2024-06-21,600519,12119.62,贵州茅台
2024-06-24,600519,12165.34,贵州茅台
2024-06-25,600519,12248.56,贵州茅台
2024-06-26,600519,12269.73,贵州茅台
2024-06-27,600519,12280.2,贵州茅台
2024-06-28,600519,12089.87,贵州茅台
2024-07-01,600519,11867.34,贵州茅台
2024-07-02,600519,12281.93,贵州茅台
2024-07-03,600519,12358.55,贵州茅台
2024-07-04,600519,12241.06,贵州茅台
2024-07-05,600519,11971.31,贵州茅台
2024-07-08,600519,11699.43,贵州茅台
2024-07-09,600519,11847.98,贵州茅台
2024-07-10,600519,11844.35,贵州茅台
2024-07-11,600519,12046.21,贵州茅台
2024-07-12,600519,12184.05,贵州茅台
2024-07-15,600519,12151.75,贵州茅台
2024-07-16,600519,12160.81,贵州茅台
2024-07-17,600519,12370.08,贵州茅台
