date,code,close,stock
2023-12-29,600036,160.87,招商银行
2024-01-02,600036,159.48,招商银行
2024-01-03,600036,160.58,招商银行
2024-01-04,600036,160.81,招商银行
2024-01-05,600036,163.59,招商银行
2024-01-08,600036,162.67,招商银行
2024-01-09,600036,162.9,招商银行
2024-01-10,600036,162.2,招商银行
2024-01-11,600036,164.11,招商银行
2024-01-12,600036,165.04,招商银行
2024-01-15,600036,166.37,招商银行
2024-01-16,600036,168.45,招商银行
2024-01-17,600036,168.79,招商银行
2024-01-18,600036,171.05,招商银行
2024-01-19,600036,171.92,招商银行
2024-01-22,600036,174.92,招商银行
2024-01-23,600036,173.42,招商银行
2024-01-24,600036,174.0,招商银行
2024-01-25,600036,178.68,招商银行
2024-01-26,600036,179.96,招商银行
2024-01-29,600036,181.29,招商银行
2024-01-30,600036,179.26,招商银行
2024-01-31,600036,177.58,招商银行
2024-02-01,600036,175.91,招商银行
2024-02-02,600036,174.81,招商银行
2024-02-05,600036,177.58,招商银行
2024-02-06,600036,181.17,招商银行
2024-02-07,600036,181.05,招商银行
2024-02-08,600036,181.57,招商银行
2024-02-19,600036,182.85,招商银行
2024-02-20,600036,181.57,招商银行
2024-02-21,600036,190.83,招商银行
2024-02-22,600036,189.67,招商银行
2024-02-23,600036,190.54,招商银行
2024-02-26,600036,186.49,招商银行
2024-02-27,600036,186.08,招商银行
2024-02-28,600036,185.16,招商银行
2024-02-29,600036,185.28,招商银行
2024-03-01,600036,184.7,招商银行
2024-03-04,600036,182.27,招商银行
2024-03-05,600036,186.08,招商银行
2024-03-06,600036,184.29,招商银行
2024-03-07,600036,185.04,招商银行
2024-03-08,600036,183.14,招商银行
2024-03-11,600036,182.04,招商银行
2024-03-12,600036,184.75,招商银行
2024-03-13,600036,182.27,招商银行
2024-03-14,600036,180.71,招商银行
2024-03-15,600036,180.3,招商银行
2024-03-18,600036,180.01,招商银行
2024-03-19,600036,178.1,招商银行
2024-03-20,600036,180.3,招商银行
2024-03-21,600036,182.44,招商银行
2024-03-22,600036,180.42,招商银行
2024-03-25,600036,181.29,招商银行
