date,code,close,stock
2023-12-29,600276,2925.68,恒瑞医药
2024-01-02,600276,2876.52,恒瑞医药
2024-01-03,600276,2860.99,恒瑞医药
2024-01-04,600276,2832.53,恒瑞医药
2024-01-05,600276,2713.51,恒瑞医药
2024-01-08,600276,2659.18,恒瑞医药
2024-01-09,600276,2665.0,恒瑞医药
2024-01-10,600276,2684.4,恒瑞医药
2024-01-11,600276,2683.11,恒瑞医药
2024-01-12,600276,2658.53,恒瑞医药
2024-01-15,600276,2685.05,恒瑞医药
2024-01-16,600276,2678.58,恒瑞医药
2024-01-17,600276,2594.49,恒瑞医药
2024-01-18,600276,2670.82,恒瑞医药
2024-01-19,600276,2678.58,恒瑞医药
2024-01-22,600276,2637.83,恒瑞医药
2024-01-23,600276,2606.78,恒瑞医药
2024-01-24,600276,2621.01,恒瑞医药
2024-01-25,600276,2665.0,恒瑞医药
2024-01-26,600276,2606.78,恒瑞医药
2024-01-29,600276,2538.86,恒瑞医药
2024-01-30,600276,2502.64,恒瑞医药
2024-01-31,600276,2422.43,恒瑞医药
2024-02-01,600276,2403.67,恒瑞医药
2024-02-02,600276,2325.4,恒瑞医药
2024-02-05,600276,2419.2,恒瑞医药
2024-02-06,600276,2652.06,恒瑞医药
2024-02-07,600276,2706.4,恒瑞医药
2024-02-08,600276,2708.34,恒瑞医药
2024-02-19,600276,2694.75,恒瑞医药
2024-02-20,600276,2707.69,恒瑞医药
2024-02-21,600276,2730.98,恒瑞医药
2024-02-22,600276,2744.56,恒瑞医药
2024-02-23,600276,2741.97,恒瑞医药
2024-02-26,600276,2721.92,恒瑞医药
2024-02-27,600276,2734.21,恒瑞医药
2024-02-28,600276,2731.62,恒瑞医药
2024-02-29,600276,2758.14,恒瑞医药
2024-03-01,600276,2750.38,恒瑞医药
2024-03-04,600276,2839.65,恒瑞医药
2024-03-05,600276,2882.34,恒瑞医药
2024-03-06,600276,2843.53,恒瑞医药
2024-03-07,600276,2713.51,恒瑞医药
2024-03-08,600276,2709.63,恒瑞医药
2024-03-11,600276,2820.24,恒瑞医药
2024-03-12,600276,2906.27,恒瑞医药
2024-03-13,600276,2890.1,恒瑞医药
2024-03-14,600276,3042.11,恒瑞医药
2024-03-15,600276,3048.58,恒瑞医药
2024-03-18,600276,3058.28,恒瑞医药
2024-03-19,600276,2973.54,恒瑞医药
2024-03-20,600276,2951.55,恒瑞医药
2024-03-21,600276,2951.55,恒瑞医药
2024-03-22,600276,2970.95,恒瑞医药
2024-03-25,600276,2985.83,恒瑞医药
2024-03-26,600276,2992.95,恒瑞医药
2024-03-27,600276,2969.66,恒瑞医药
2024-03-28,600276,2989.07,恒瑞医药
2024-03-29,600276,2973.54,恒瑞医药
2024-04-01,600276,2996.18,恒瑞医药
2024-04-02,600276,2940.55,恒瑞医药
2024-04-03,600276,2895.27,恒瑞医药
2024-04-08,600276,2936.67,恒瑞医药
2024-04-09,600276,2945.73,恒瑞医药
2024-04-10,600276,2939.91,恒瑞医药
2024-04-11,600276,2906.92,恒瑞医药
2024-04-12,600276,2851.94,恒瑞医药
2024-04-15,600276,2882.34,恒瑞医药
2024-04-16,600276,2862.93,恒瑞医药
2024-04-17,600276,2871.34,恒瑞医药
2024-04-18,600276,2739.38,恒瑞医药
2024-04-19,600276,2696.05,恒瑞医药
2024-04-22,600276,2707.69,恒瑞医药
2024-04-23,600276,2850.64,恒瑞医药
2024-04-24,600276,2826.71,恒瑞医药
2024-04-25,600276,2865.52,恒瑞医药
2024-04-26,600276,2950.26,恒瑞医药
2024-04-29,600276,2987.13,恒瑞医药
2024-04-30,600276,2985.83,恒瑞医药
2024-05-06,600276,3050.52,恒瑞医药
2024-05-07,600276,3055.04,恒瑞医药
2024-05-08,600276,3002.65,恒瑞医药
2024-05-09,600276,3033.7,恒瑞医药
2024-05-10,600276,3006.53,恒瑞医药
