date,code,close,stock
2023-12-29,300750,297.41,宁德时代
2024-01-02,300750,285.7,宁德时代
2024-01-03,300750,283.82,宁德时代
2024-01-04,300750,275.44,宁德时代
2024-01-05,300750,274.89,宁德时代
2024-01-08,300750,273.25,宁德时代
2024-01-09,300750,270.89,宁德时代
2024-01-10,300750,274.46,宁德时代
2024-01-11,300750,282.03,宁德时代
2024-01-12,300750,281.69,宁德时代
2024-01-15,300750,276.35,宁德时代
2024-01-16,300750,285.91,宁德时代
2024-01-17,300750,277.33,宁德时代
2024-01-18,300750,281.65,宁德时代
2024-01-19,300750,282.18,宁德时代
2024-01-22,300750,283.56,宁德时代
2024-01-23,300750,280.38,宁德时代
2024-01-24,300750,279.59,宁德时代
2024-01-25,300750,282.36,宁德时代
2024-01-26,300750,273.25,宁德时代
2024-01-29,300750,267.83,宁德时代
2024-01-30,300750,256.4,宁德时代
2024-01-31,300750,276.15,宁德时代
2024-02-01,300750,271.47,宁德时代
2024-02-02,300750,265.97,宁德时代
2024-02-05,300750,276.79,宁德时代
2024-02-06,300750,288.43,宁德时代
2024-02-07,300750,290.74,宁德时代
2024-02-08,300750,296.64,宁德时代
2024-02-19,300750,291.63,宁德时代
2024-02-20,300750,288.43,宁德时代
2024-02-21,300750,293.66,宁德时代
2024-02-22,300750,292.11,宁德时代
2024-02-23,300750,292.38,宁德时代
2024-02-26,300750,284.18,宁德时代
2024-02-27,300750,287.52,宁德时代
2024-02-28,300750,286.02,宁德时代
2024-02-29,300750,297.86,宁德时代
2024-03-01,300750,299.76,宁德时代
2024-03-04,300750,298.58,宁德时代
2024-03-05,300750,299.94,宁德时代
2024-03-06,300750,298.1,宁德时代
2024-03-07,300750,291.74,宁德时代
2024-03-08,300750,287.83,宁德时代
2024-03-11,300750,329.45,宁德时代
2024-03-12,300750,338.54,宁德时代
2024-03-13,300750,337.34,宁德时代
2024-03-14,300750,334.85,宁德时代
2024-03-15,300750,329.73,宁德时代
2024-03-18,300750,347.87,宁德时代
2024-03-19,300750,341.11,宁德时代
2024-03-20,300750,345.17,宁德时代
2024-03-21,300750,344.45,宁德时代
2024-03-22,300750,339.76,宁德时代
2024-03-25,300750,336.65,宁德时代
2024-03-26,300750,349.4,宁德时代
2024-03-27,300750,342.48,宁德时代
2024-03-28,300750,343.9,宁德时代
2024-03-29,300750,346.41,宁德时代
2024-04-01,300750,360.4,宁德时代
2024-04-02,300750,363.79,宁德时代
2024-04-03,300750,360.06,宁德时代
2024-04-08,300750,354.5,宁德时代
2024-04-09,300750,357.05,宁德时代
2024-04-10,300750,351.11,宁德时代
2024-04-11,300750,350.86,宁德时代
2024-04-12,300750,343.19,宁德时代
2024-04-15,300750,359.13,宁德时代
2024-04-16,300750,359.15,宁德时代
2024-04-17,300750,357.03,宁德时代
2024-04-18,300750,356.25,宁德时代
2024-04-19,300750,347.58,宁德时代
2024-04-22,300750,347.21,宁德时代
2024-04-23,300750,345.99,宁德时代
2024-04-24,300750,345.39,宁德时代
2024-04-25,300750,351.95,宁德时代
2024-04-26,300750,361.57,宁德时代
2024-04-29,300750,381.88,宁德时代
2024-04-30,300750,378.12,宁德时代
2024-05-06,300750,386.29,宁德时代
