date,open,close,high,low
2014-12-01,2825.611,2819.812,2855.332,2808.653
2014-12-02,2807.338,2923.94,2944.506,2804.293
2014-12-03,2936.124,2967.549,3028.225,2912.246
2014-12-04,2975.403,3104.351,3104.89,2968.876
2014-12-05,3143.968,3124.885,3195.798,3011.936
2014-12-08,3108.272,3252.881,3270.881,3075.7
2014-12-09,3233.097,3106.913,3387.827,3074.516
2014-12-10,3120.212,3221.546,3229.047,3058.191
2014-12-11,3185.161,3183.012,3254.424,3158.443
2014-12-12,3182.923,3193.227,3239.447,3167.928
2014-12-15,3176.829,3217.228,3226.221,3143.297
2014-12-16,3221.358,3303.402,3303.402,3207.688
2014-12-17,3325.82,3360.598,3368.194,3275.736
2014-12-18,3359.09,3345.927,3393.711,3322.229
2014-12-19,3345.629,3383.167,3397.183,3280.916
2014-12-22,3396.251,3394.481,3455.207,3357.661
2014-12-23,3358.798,3324.924,3431.779,3316.913
2014-12-24,3332.146,3230.385,3340.357,3188.495
2014-12-25,3254.48,3335.419,3335.779,3226.322
2014-12-26,3343.64,3445.839,3453.338,3335.012
2014-12-29,3502.183,3455.455,3524.28,3405.836
2014-12-30,3450.814,3457.554,3491.826,3422.174
2014-12-31,3462.389,3533.705,3542.34,3452.498
2015-01-05,3566.089,3641.541,3669.042,3551.51
2015-01-06,3608.428,3641.059,3683.226,3587.231
2015-01-07,3620.924,3643.79,3671.19,3601.698
2015-01-08,3650.073,3559.259,3659.945,3552.1
2015-01-09,3547.574,3546.723,3689.753,3536.395
2015-01-12,3531.515,3513.576,3560.527,3461.322
2015-01-13,3506.451,3514.04,3550.158,3494.768
2015-01-14,3522.907,3502.423,3547.242,3471.56
2015-01-15,3501.719,3604.121,3604.121,3482.27
2015-01-16,3616.248,3635.146,3662.158,3601.258
2015-01-19,3414.013,3355.155,3497.252,3330.981
2015-01-20,3336.793,3396.222,3419.204,3325.681
2015-01-21,3420.491,3548.885,3557.794,3409.43
2015-01-22,3551.052,3567.613,3576.756,3520.053
2015-01-23,3582.088,3571.732,3627.806,3548.626
2015-01-26,3580.118,3607.985,3611.617,3559.376
2015-01-27,3614.038,3574.931,3616.258,3510.017
2015-01-28,3547.239,3525.323,3583.312,3512.393
2015-01-29,3474.915,3481.798,3505.582,3453.901
2015-01-30,3496.885,3434.39,3514.217,3431.936
2015-02-02,3360.193,3353.96,3407.256,3347.085
2015-02-03,3388.602,3437.445,3441.709,3360.717
2015-02-04,3446.144,3401.768,3476.817,3399.565
2015-02-05,3487.951,3366.946,3487.951,3366.862
2015-02-06,3352.33,3312.42,3374.051,3285.935
2015-02-09,3305.734,3345.921,3376.526,3298.597
2015-02-10,3345.077,3406.943,3407.18,3339.548
2015-02-11,3415.977,3434.124,3445.655,3412.136
2015-02-12,3435.361,3442.874,3453.582,3405.627
2015-02-13,3458.827,3469.828,3509.505,3452.079
2015-02-16,3473.289,3499.483,3504.475,3466.607
2015-02-17,3511.544,3522.322,3536.82,3511.093
2015-02-25,3529.55,3478.729,3529.55,3463.955
2015-02-26,3473.713,3566.295,3569.33,3456.871
2015-02-27,3565.233,3572.843,3594.813,3560.455
2015-03-02,3603.452,3601.265,3608.691,3566.527
2015-03-03,3579.315,3507.9,3579.315,3504.201
2015-03-04,3514.667,3530.822,3540.912,3497.172
2015-03-05,3513.249,3496.344,3517.083,3467.676
2015-03-06,3501.184,3478.52,3516.243,3472.392
2015-03-09,3449.696,3537.75,3546.705,3417.486
2015-03-10,3523.64,3520.611,3551.205,3511.985
2015-03-11,3524.575,3524.653,3568.916,3512.218
2015-03-12,3557.686,3592.844,3603.341,3536.534
2015-03-13,3604.671,3617.657,3641.392,3594.742
2015-03-16,3641.773,3705.671,3705.739,3621.119
2015-03-17,3733.961,3757.122,3762.575,3716.809
2015-03-18,3769.086,3846.055,3846.055,3763.848
2015-03-19,3851.249,3839.739,3859.126,3809.706
2015-03-20,3852.492,3892.574,3916.863,3832.416
2015-03-23,3923.083,3972.061,3972.296,3922.21
2015-03-24,3980.066,3973.046,3989.858,3883.782
