date,open,high,low,close
2015-01-05,69.5,71.64,68.2,70.01
2015-01-06,68.83,72.19,68.37,68.91
2015-01-07,67.99,69.5,66.9,67.82
2015-01-08,68.2,68.58,65.18,65.35
2015-01-09,65.3,69.5,64.47,65.93
2015-01-12,65.89,66.73,63.79,65.47
2015-01-13,65.14,66.23,64.42,64.76
2015-01-14,65.35,66.73,65.05,65.93
2015-01-15,65.93,67.95,65.47,67.91
2015-01-16,68.28,69.25,67.45,68.16
2015-01-19,61.36,64.63,61.36,61.4
2015-01-20,61.91,62.87,60.18,61.44
2015-01-21,62.12,64.93,61.23,64.21
2015-01-22,64.21,64.26,62.79,63.5
2015-01-23,63.92,65.05,63.42,63.67
2015-01-26,63.75,63.96,62.41,63.08
2015-01-27,63.16,63.37,60.65,61.74
2015-01-28,61.28,62.28,60.48,60.98
2015-01-29,60.06,60.56,59.39,60.31
2015-01-30,60.56,61.36,59.6,60.18
2015-02-02,58.67,60.02,58.17,59.14
2015-02-03,60.23,61.28,59.6,61.15
2015-02-04,61.28,61.78,59.93,60.02
2015-02-05,62.95,63.16,60.02,60.1
2015-02-06,59.93,61.19,59.39,59.81
2015-02-09,59.81,61.02,58.76,60.48
2015-02-10,60.73,61.91,60.14,61.53
2015-02-11,61.65,62.07,61.11,61.44
2015-02-12,61.65,61.7,60.35,61.15
2015-02-13,61.36,62.33,60.9,61.4
2015-02-16,60.44,60.81,60.02,60.69
2015-02-17,60.65,61.32,60.48,60.94
2015-02-25,60.86,61.02,59.51,60.02
2015-02-26,59.97,61.82,59.56,61.57
2015-02-27,61.7,62.95,61.49,61.7
2015-03-02,62.03,62.24,60.48,61.15
2015-03-03,60.77,60.9,59.39,59.47
2015-03-04,60.14,60.14,59.18,59.64
2015-03-05,58.93,59.22,57.96,58.38
2015-03-06,58.42,59.14,58.38,58.97
2015-03-09,59.01,62.41,57.92,61.61
2015-03-10,60.81,61.23,59.72,59.97
2015-03-11,60.23,61.82,60.06,60.65
2015-03-12,61.91,64.76,61.23,63.5
2015-03-13,63.67,65.26,63.08,63.37
2015-03-16,64.09,64.89,63.12,64.47
2015-03-17,64.68,65.05,64.0,64.68
2015-03-18,64.68,66.19,64.42,66.06
2015-03-19,66.06,66.73,64.93,65.81
2015-03-20,65.77,66.98,64.34,65.85
2015-03-23,66.4,66.69,65.6,66.27
2015-03-24,66.23,66.31,65.22,65.3
2015-03-25,64.72,65.14,63.21,63.63
2015-03-26,63.29,64.72,62.87,63.88
2015-03-27,63.88,64.76,63.37,64.05
2015-03-30,64.72,66.44,64.21,66.06
2015-03-31,66.94,68.87,64.84,65.35
2015-04-01,65.43,66.77,65.26,66.02
2015-04-02,66.73,67.07,64.84,65.72
2015-04-13,72.31,72.31,72.31,72.31
2015-04-14,75.42,75.42,72.9,73.36
2015-04-15,73.15,76.76,72.86,75.0
2015-04-16,75.0,79.07,74.54,78.95
2015-04-17,79.57,81.63,76.72,76.89
2015-04-20,78.48,78.48,73.87,74.75
