date,open,high,low,close
2018-06-11,30.17,36.2,30.17,36.2
2018-06-12,39.82,39.82,39.82,39.82
2018-06-13,43.8,43.8,43.8,43.8
2018-06-14,48.18,48.18,48.18,48.18
2018-06-15,53.0,53.0,53.0,53.0
2018-06-19,58.3,58.3,58.3,58.3
2018-06-20,64.13,64.13,64.13,64.13
2018-06-21,70.54,70.54,70.54,70.54
2018-06-22,72.0,72.71,63.49,66.55
2018-06-25,68.2,71.6,67.22,69.19
2018-06-26,67.89,75.55,67.1,74.18
2018-06-27,74.21,74.93,71.77,74.09
2018-06-28,73.3,75.39,67.44,68.21
2018-06-29,68.68,74.3,67.77,71.96
2018-07-02,70.79,71.48,69.11,70.0
2018-07-03,70.2,71.19,65.85,69.29
2018-07-04,68.15,68.15,65.5,65.92
2018-07-05,65.0,71.88,64.88,68.81
2018-07-06,68.81,74.5,68.7,70.88
2018-07-09,70.8,71.57,69.11,71.55
2018-07-10,75.0,75.89,71.66,72.4
2018-07-11,70.0,78.94,69.58,77.06
2018-07-12,76.03,84.77,75.6,84.77
2018-07-13,82.0,88.47,81.03,82.7
2018-07-16,82.7,84.75,80.1,83.9
2018-07-17,83.11,84.17,79.66,82.28
2018-07-18,82.28,84.37,80.11,82.28
2018-07-19,82.0,85.15,80.67,82.89
2018-07-20,82.5,91.18,82.01,90.93
2018-07-23,89.0,90.54,87.55,88.62
2018-07-24,88.5,92.96,87.5,91.77
2018-07-25,91.0,95.08,82.59,82.59
2018-07-26,80.5,82.6,76.6,78.2
2018-07-27,78.0,78.64,75.67,76.05
2018-07-30,76.5,77.34,75.0,76.85
2018-07-31,76.78,76.79,70.51,72.22
2018-08-01,72.0,73.63,71.02,71.42
2018-08-02,70.4,73.29,70.05,72.56
2018-08-03,71.76,73.14,68.66,69.6
2018-08-06,69.0,71.08,67.6,69.65
2018-08-07,70.48,74.46,70.0,73.79
2018-08-08,73.5,73.58,71.11,71.52
2018-08-09,71.4,75.66,70.3,74.06
2018-08-10,73.6,74.49,73.02,74.44
2018-08-13,73.0,74.19,72.03,74.01
2018-08-14,73.8,73.89,71.44,71.57
2018-08-15,70.98,72.03,69.0,69.11
2018-08-16,68.0,69.88,66.21,68.99
2018-08-17,69.9,70.51,68.1,68.16
2018-08-20,67.88,69.11,66.0,68.95
2018-08-21,68.97,70.78,68.02,69.57
2018-08-22,69.06,70.25,67.21,67.47
2018-08-23,67.65,69.65,67.08,69.1
2018-08-24,67.81,71.2,67.7,68.8
2018-08-27,68.58,70.98,67.89,70.46
2018-08-28,70.61,74.32,70.4,73.01
2018-08-29,72.6,73.5,71.81,73.02
2018-08-30,73.19,74.0,69.63,69.99
2018-08-31,68.49,69.2,65.01,65.5
2018-09-03,64.8,64.8,61.0,63.26
2018-09-04,63.2,64.25,62.76,63.85
2018-09-05,63.6,63.98,61.39,61.39
2018-09-06,60.6,62.65,60.32,61.84
2018-09-07,62.49,64.88,62.21,63.32
2018-09-10,63.56,63.79,61.0,61.35
2018-09-11,61.4,63.16,61.4,62.57
2018-09-12,62.8,65.25,62.61,64.5
2018-09-13,65.64,66.1,63.39,64.8
2018-09-14,66.3,69.0,65.86,65.9
2018-09-17,64.57,65.48,63.59,63.71
2018-09-18,63.0,66.41,62.99,66.36
2018-09-19,65.99,68.56,65.45,67.33
2018-09-20,67.01,69.9,67.01,67.99
2018-09-21,68.63,69.9,67.86,69.19
2018-09-25,68.4,69.3,67.71,68.33
2018-09-26,68.66,73.5,68.66,72.89
2018-09-27,72.25,74.95,71.7,72.55
2018-09-28,72.11,75.09,72.11,73.0
2018-10-08,71.88,71.88,67.8,68.45
2018-10-09,68.91,69.16,64.1,64.9
2018-10-10,65.61,65.8,63.6,64.9
2018-10-11,61.88,63.47,59.51,60.45
2018-10-12,60.45,63.16,60.38,62.86
2018-10-15,68.8,69.15,67.88,69.15
2018-10-16,70.0,70.36,67.94,68.85
2018-10-17,69.77,71.78,69.21,70.0
2018-10-18,68.7,71.4,65.52,68.03
2018-10-19,67.01,74.26,67.01,73.77
2018-10-22,74.09,81.1,74.09,79.1
2018-10-23,78.1,79.96,76.1,78.0
2018-10-24,77.84,79.47,76.12,77.0
2018-10-25,75.0,81.58,74.51,80.91
2018-10-26,80.69,80.69,73.01,74.6
2018-10-29,74.94,75.4,70.6,70.76
2018-10-30,70.65,75.35,69.88,75.0
2018-10-31,75.29,77.43,74.2,74.5
2018-11-01,75.2,76.82,73.21,73.61
2018-11-02,76.14,78.63,76.05,78.48
2018-11-05,78.48,82.48,77.8,79.39
2018-11-06,79.03,82.4,76.0,81.57
2018-11-07,80.2,82.38,78.21,79.04
2018-11-08,79.84,80.38,76.89,77.31
2018-11-09,77.0,79.05,76.66,77.75
2018-11-12,77.0,83.8,76.7,83.25
2018-11-13,82.0,82.51,79.8,81.63
2018-11-14,80.41,83.0,79.75,81.0
2018-11-15,80.41,82.2,79.9,81.35
2018-11-16,81.68,81.76,78.62,80.11
2018-11-19,79.59,81.48,79.0,79.35
2018-11-20,78.71,79.2,77.56,77.77
2018-11-21,77.5,79.75,76.5,78.65
2018-11-22,78.2,79.44,77.6,77.91
2018-11-23,77.91,77.95,73.9,73.98
2018-11-26,73.8,74.88,72.8,74.62
2018-11-27,74.68,76.85,73.76,75.6
2018-11-28,75.75,79.48,75.25,78.68
2018-11-29,79.5,81.5,78.03,78.03
2018-11-30,78.01,80.99,78.01,80.03
2018-12-03,82.52,83.49,80.56,80.85
2018-12-04,80.2,83.08,80.04,82.3
2018-12-05,81.0,82.6,80.6,81.37
2018-12-06,80.8,82.28,79.0,79.01
2018-12-07,79.18,80.46,79.18,79.7
2018-12-10,79.45,80.37,76.8,78.29
2018-12-11,78.5,79.18,77.82,78.56
2018-12-12,79.34,81.98,79.0,81.5
2018-12-13,81.92,82.27,80.58,82.11
2018-12-14,81.93,82.48,79.31,79.34
2018-12-17,78.8,80.49,77.0,80.16
2018-12-18,79.0,80.59,78.68,79.55
2018-12-19,79.16,81.7,78.34,79.5
2018-12-20,79.38,79.39,76.23,77.34
2018-12-21,77.54,78.5,75.6,78.5
2018-12-24,77.68,79.24,77.01,78.03
2018-12-25,77.04,77.74,75.65,77.2
2018-12-26,77.2,77.9,75.53,75.9
2018-12-27,77.2,77.48,75.78,75.78
2018-12-28,75.69,76.62,73.8,73.8
2019-01-02,74.25,74.97,73.53,73.66
2019-01-03,72.51,74.54,72.51,73.83
2019-01-04,73.33,77.24,73.23,76.96
2019-01-07,76.94,77.65,76.3,77.42
2019-01-08,77.22,79.45,77.2,79.33
2019-01-09,77.0,78.21,75.18,77.98
2019-01-10,77.64,77.85,76.02,76.28
2019-01-11,76.6,76.75,74.8,75.29
2019-01-14,75.3,76.33,74.3,76.08
2019-01-15,76.0,77.48,74.85,77.37
2019-01-16,76.9,77.2,76.41,76.67
2019-01-17,76.95,77.69,76.41,76.66
