date,open,high,low,close
2015-01-05,72.8,78.6,72.8,78.02
2015-01-06,77.97,84.84,76.92,82.8
2015-01-07,82.83,84.42,80.74,82.64
2015-01-08,82.15,85.54,80.68,83.82
2015-01-09,83.48,85.65,81.18,81.23
2015-01-12,81.15,85.25,79.64,83.61
2015-01-13,83.58,87.42,82.28,86.69
2015-01-14,87.19,87.21,81.99,83.24
2015-01-15,83.16,84.73,81.08,83.69
2015-01-16,83.56,83.69,81.34,82.2
2015-01-19,78.33,80.95,73.97,76.95
2015-01-20,77.05,80.61,76.98,79.64
2015-01-21,79.8,82.04,78.57,81.42
2015-01-22,81.44,81.94,79.64,80.58
2015-01-23,80.66,81.68,79.14,79.64
2015-01-26,80.42,81.18,79.74,80.42
2015-01-27,81.0,81.73,78.99,80.55
2015-01-28,79.51,80.45,78.49,79.33
2015-01-29,77.37,79.12,77.29,78.07
2015-01-30,78.23,80.68,78.2,78.41
2015-02-02,77.03,78.18,75.41,75.44
2015-02-03,76.92,77.03,75.72,76.69
2015-02-04,77.71,79.04,76.51,76.53
2015-02-05,78.33,79.61,75.72,75.72
2015-02-06,75.75,77.63,74.44,76.01
2015-02-09,76.19,78.31,75.75,77.19
2015-02-10,78.07,79.85,77.55,79.51
2015-02-11,80.42,80.42,78.91,79.3
2015-02-12,79.64,80.32,78.75,79.35
2015-02-13,79.67,80.32,78.7,79.2
2015-02-16,79.48,79.64,78.33,78.8
2015-02-17,79.12,83.14,78.6,82.49
2015-02-25,83.3,84.47,81.73,83.01
2015-02-26,82.67,83.01,81.26,82.9
2015-02-27,82.77,83.5,81.44,82.15
2015-03-02,82.36,83.11,81.31,82.15
2015-03-03,81.39,82.3,79.12,79.22
2015-03-04,79.12,81.31,78.73,80.42
2015-03-05,78.86,79.61,77.03,77.55
2015-03-06,77.68,78.2,76.25,76.82
2015-03-09,75.72,78.33,75.2,78.28
2015-03-10,77.94,79.2,77.45,77.84
2015-03-11,77.86,80.87,77.84,80.87
2015-03-12,81.78,81.94,80.06,80.11
2015-03-13,80.14,82.25,79.9,80.95
2015-03-16,81.47,82.51,80.16,82.25
2015-03-17,82.9,82.98,81.47,82.17
2015-03-18,82.77,83.56,81.78,83.53
2015-03-19,84.03,85.33,82.75,83.56
2015-03-20,83.19,84.34,82.15,82.28
2015-03-23,83.06,85.04,82.51,84.1
2015-03-24,85.15,85.59,82.33,83.79
2015-03-25,82.51,83.11,81.99,82.36
2015-03-31,90.58,90.58,84.89,86.04
2015-04-01,86.14,90.08,85.38,89.25
2015-04-02,90.27,90.55,87.29,89.41
2015-04-03,89.12,89.12,87.34,88.47
2015-04-07,89.59,91.1,88.05,89.17
2015-04-08,89.43,89.51,86.98,88.54
2015-04-09,88.54,88.65,84.94,85.85
2015-04-10,84.65,87.73,84.65,87.53
2015-04-13,88.0,89.43,85.65,86.17
2015-04-14,86.12,87.34,85.23,86.72
2015-04-15,86.56,86.56,83.63,83.63
2015-04-16,83.63,87.21,83.19,87.21
2015-04-17,89.17,95.31,87.94,93.43
2015-04-20,93.22,95.28,90.42,91.65
2015-04-21,92.67,97.0,91.86,96.61
2015-04-22,98.44,101.52,96.61,96.64
2015-04-23,96.74,97.89,94.44,95.38
2015-04-24,94.65,96.53,93.48,94.52
2015-04-27,95.57,97.76,94.42,95.52
2015-04-28,97.87,101.52,95.96,97.58
2015-04-29,98.75,100.19,97.32,97.79
2015-04-30,97.33,101.03,96.58,99.18
2015-05-04,99.13,99.16,96.31,96.79
2015-05-05,96.31,96.53,90.87,91.46
2015-05-06,93.36,93.71,90.97,91.56
2015-05-07,91.21,94.25,90.46,93.58
2015-05-08,95.24,96.2,93.23,94.43
2015-05-11,94.17,95.64,92.77,95.64
2015-05-12,95.77,97.06,94.17,95.13
2015-05-13,95.37,97.92,94.43,96.31
2015-05-14,95.96,96.98,94.57,95.0
2015-05-15,94.57,94.68,91.11,91.75
2015-05-18,91.21,91.21,88.88,89.09
2015-05-19,89.42,93.9,89.34,93.44
2015-05-20,95.51,98.08,94.49,96.15
2015-05-21,97.87,103.23,97.87,102.21
2015-05-22,102.75,103.42,99.32,102.27
2015-05-25,102.35,104.2,100.6,103.5
2015-05-26,103.5,111.31,103.45,108.87
2015-05-27,108.92,110.18,105.67,106.32
2015-05-28,106.32,107.31,98.73,98.83
2015-05-29,98.86,100.6,94.7,99.26
2015-06-01,99.56,103.29,99.21,103.02
2015-06-02,103.05,103.55,100.34,103.13
2015-06-03,103.15,106.24,102.86,104.9
2015-06-04,104.63,104.63,94.54,102.03
2015-06-05,102.64,104.57,99.13,101.09
2015-06-08,101.19,105.92,99.8,105.62
2015-06-09,105.7,106.83,102.48,103.61
2015-06-10,102.24,105.65,101.41,104.01
2015-06-11,104.01,105.33,101.17,102.16
2015-06-12,102.16,103.8,100.74,101.6
2015-06-15,101.76,102.16,97.55,97.95
2015-06-16,98.11,99.64,95.86,97.79
2015-06-17,98.59,99.8,96.61,99.21
2015-06-18,99.21,99.64,96.2,96.34
2015-06-19,96.02,98.83,88.53,93.95
2015-06-23,93.84,102.35,93.36,101.95
2015-06-24,102.08,104.63,100.07,104.2
2015-06-25,104.9,106.99,96.58,98.48
2015-06-26,96.04,98.22,89.07,92.31
2015-06-29,96.58,98.3,87.19,92.02
2015-06-30,91.94,100.28,90.68,100.01
2015-07-01,99.26,101.41,95.29,95.51
2015-07-02,97.12,97.92,90.36,96.55
2015-07-03,96.58,96.58,87.89,89.34
2015-07-06,98.06,98.06,88.5,93.9
2015-07-07,91.24,93.74,88.26,91.83
2015-07-08,82.66,84.51,82.66,82.66
2015-07-09,82.66,90.92,77.8,90.92
2015-07-10,91.21,100.01,90.92,99.93
2015-07-13,100.04,105.65,97.6,102.19
2015-07-14,100.15,100.74,96.61,96.69
2015-07-15,95.08,97.92,90.7,96.58
2015-07-16,96.58,97.65,93.58,95.51
2015-07-17,96.9,99.13,95.51,97.71
2015-07-20,98.06,98.08,94.7,95.59
2015-07-21,94.06,95.24,93.52,93.98
2015-07-22,95.0,95.94,91.48,92.21
2015-07-23,92.02,93.9,91.21,93.49
2015-07-24,93.49,95.24,91.75,92.18
2015-07-27,90.97,91.78,83.19,84.51
2015-07-28,82.82,90.01,81.99,88.21
2015-07-29,88.53,89.95,87.3,89.66
2015-07-30,89.55,90.62,86.12,86.52
2015-07-31,85.18,89.09,84.8,88.93
2015-08-03,87.4,91.21,87.14,91.21
2015-08-04,91.03,91.46,88.64,91.38
2015-08-05,95.24,96.55,92.02,92.31
2015-08-06,90.65,92.56,88.56,90.73
2015-08-07,91.99,92.56,90.68,91.8
2015-08-10,91.8,94.22,90.14,93.76
2015-08-11,93.09,93.76,92.34,92.82
2015-08-12,92.85,93.74,89.87,89.9
2015-08-13,89.63,90.87,88.53,90.22
2015-08-14,90.25,90.38,89.07,89.34
2015-08-17,89.18,89.18,87.19,87.67
2015-08-18,87.67,88.48,82.33,82.98
2015-08-19,82.01,84.24,80.48,83.89
2015-08-20,81.99,83.11,80.51,80.51
2015-08-21,79.65,80.46,75.12,75.33
2015-08-24,72.38,72.41,67.79,67.82
2015-08-25,64.01,70.23,62.59,63.74
2015-08-26,64.87,70.07,64.06,67.69
2015-08-27,70.29,71.44,67.53,71.2
2015-08-28,71.68,74.23,71.39,73.37
2015-08-31,74.58,77.24,71.23,77.24
2015-09-01,75.09,77.48,73.29,77.34
2015-09-02,74.72,77.72,73.29,77.13
2015-09-07,76.59,77.77,71.68,72.06
2015-09-08,71.5,73.72,70.05,73.51
2015-09-09,73.53,75.73,72.78,74.85
2015-09-10,73.83,74.53,73.32,73.4
2015-09-11,73.59,73.91,72.78,73.11
2015-09-14,73.51,73.56,68.41,69.78
2015-09-15,69.43,69.43,66.26,67.07
2015-09-16,67.61,72.38,67.02,71.47
2015-09-17,71.15,71.63,67.87,68.41
2015-09-18,68.89,69.67,68.71,69.43
2015-09-21,68.52,71.25,68.46,71.17
2015-09-22,70.83,72.33,70.8,71.5
2015-09-23,70.83,70.83,69.16,69.32
2015-09-24,69.94,71.25,69.38,70.1
2015-09-25,69.78,69.89,66.94,67.34
2015-09-28,67.39,67.47,66.34,67.34
2015-09-29,66.51,66.88,65.65,65.92
2015-09-30,66.32,68.09,66.32,67.69
2015-10-08,71.09,74.42,71.09,72.73
2015-10-09,72.57,73.11,71.74,72.7
2015-10-12,73.03,76.14,72.43,75.9
2015-10-13,75.65,75.65,74.12,74.9
2015-10-14,74.07,74.42,72.17,72.35
2015-10-15,72.27,73.94,71.98,73.83
2015-10-16,73.53,75.33,73.24,74.21
2015-10-19,74.31,74.53,72.76,73.56
2015-10-20,73.51,73.83,72.97,73.78
2015-10-21,74.04,74.74,71.28,71.55
2015-10-22,71.23,72.38,71.12,72.3
2015-10-23,72.65,74.42,72.65,73.99
2015-10-26,75.68,75.92,73.94,74.58
2015-10-27,73.56,74.5,72.03,73.45
2015-10-28,73.59,73.59,71.42,71.87
2015-10-29,72.49,74.8,71.74,74.47
2015-10-30,74.1,76.19,73.19,75.14
2015-11-02,74.26,77.72,73.99,76.14
2015-11-03,76.14,76.65,74.85,75.6
2015-11-04,75.6,78.85,75.52,78.74
2015-11-05,78.74,81.88,77.96,80.62
2015-11-06,80.13,81.07,79.68,80.81
2015-11-09,80.75,83.17,80.56,81.29
2015-11-10,80.64,81.07,79.01,79.49
2015-11-11,79.68,79.79,78.42,78.98
2015-11-12,79.52,80.08,78.93,79.76
2015-11-13,78.93,78.95,77.32,77.77
2015-11-16,76.97,77.53,76.51,77.26
2015-11-17,77.8,79.09,77.32,77.83
2015-11-18,78.12,78.23,76.0,76.06
2015-11-19,76.19,76.67,74.85,76.38
2015-11-20,76.43,76.59,74.9,75.6
2015-11-23,75.57,76.14,74.85,75.39
2015-11-24,75.49,76.65,75.17,76.46
2015-11-25,76.43,76.65,75.39,75.9
2015-11-26,76.16,77.64,75.92,76.81
2015-11-27,76.3,76.38,72.43,72.73
2015-11-30,73.19,73.37,70.21,71.98
2015-12-01,72.06,75.68,71.12,74.66
2015-12-02,74.53,81.37,74.04,78.61
2015-12-03,78.04,78.98,77.26,78.07
2015-12-04,77.42,78.82,76.59,78.04
2015-12-07,78.15,79.49,76.81,78.63
2015-12-08,77.85,77.85,75.25,75.6
2015-12-09,75.28,77.67,75.28,76.49
2015-12-10,76.73,79.03,76.67,77.48
2015-12-11,77.56,79.2,76.62,78.82
2015-12-14,78.28,81.13,77.88,80.62
2015-12-15,80.43,81.29,79.33,80.62
2015-12-16,80.62,80.75,79.68,79.89
2015-12-17,80.16,82.2,80.16,80.97
2015-12-18,80.97,81.77,79.14,79.73
2015-12-21,79.95,87.4,79.73,85.5
2015-12-22,85.53,88.21,84.83,87.06
2015-12-23,86.39,89.28,85.53,87.06
2015-12-24,87.0,87.0,83.62,85.04
2015-12-25,85.18,86.49,85.1,86.25
2015-12-28,86.44,87.22,83.17,83.17
2015-12-29,83.3,91.16,82.25,88.77
2015-12-30,88.56,92.02,88.21,89.69
2015-12-31,89.74,90.09,87.32,88.05
2016-01-04,88.05,89.01,79.25,79.73
2016-01-05,79.73,84.45,79.22,84.05
2016-01-06,83.92,85.71,82.95,84.75
2016-01-07,82.9,83.11,77.48,77.91
2016-01-08,81.05,82.07,77.08,79.97
2016-01-11,77.8,79.25,75.63,76.19
2016-01-12,76.78,78.26,75.6,77.29
2016-01-13,77.96,80.3,76.59,77.77
2016-01-14,75.17,79.89,75.14,79.41
2016-01-15,79.41,80.0,75.39,76.16
2016-01-18,74.42,76.59,73.51,74.58
2016-01-19,74.63,78.55,74.21,77.32
2016-01-20,77.0,77.8,74.18,75.2
2016-01-21,74.12,75.73,72.49,72.52
2016-01-22,73.48,73.62,71.09,72.65
2016-01-25,73.03,73.75,72.62,72.97
2016-01-26,72.54,73.05,69.14,69.35
2016-01-27,69.75,70.91,67.47,70.37
2016-01-28,69.83,72.35,69.43,71.12
2016-01-29,70.69,73.78,70.29,73.27
2016-02-01,73.29,73.94,72.73,73.37
2016-02-02,73.37,75.06,73.24,74.07
2016-02-03,73.72,73.99,71.93,72.89
2016-02-04,73.03,74.23,72.73,73.21
2016-02-05,73.51,74.26,73.16,73.56
2016-02-15,72.3,73.19,71.68,72.33
2016-02-16,73.32,74.58,72.7,74.42
2016-02-17,74.21,75.71,74.07,74.98
2016-02-18,75.47,75.9,74.53,74.74
2016-02-19,74.61,74.93,73.78,74.04
2016-02-22,75.09,75.52,73.83,75.22
2016-02-23,75.31,75.39,74.37,74.77
2016-02-24,74.58,75.01,73.29,74.69
2016-02-25,74.37,74.66,69.75,71.01
2016-02-26,71.33,72.19,70.99,72.01
2016-02-29,71.84,71.87,69.0,69.94
2016-03-01,70.15,72.35,69.99,72.33
2016-03-02,72.94,78.28,72.35,78.28
2016-03-03,78.2,78.61,76.46,76.73
2016-03-04,77.21,79.81,76.59,78.12
2016-03-07,78.34,80.27,77.4,78.42
2016-03-08,78.47,78.61,75.87,77.4
2016-03-09,76.59,78.74,75.98,77.21
2016-03-10,77.13,79.57,76.97,77.88
2016-03-11,77.37,78.82,77.02,77.8
2016-03-14,78.71,80.89,78.69,79.28
2016-03-15,79.89,79.95,77.8,79.52
2016-03-16,79.44,79.44,78.07,78.5
2016-03-17,79.17,80.46,78.95,80.08
2016-03-18,80.75,81.72,79.71,80.59
2016-03-21,80.89,82.07,80.54,81.5
2016-03-22,81.69,83.03,81.26,81.93
2016-03-23,81.26,82.09,80.43,81.23
2016-03-24,80.56,83.84,79.89,82.82
2016-03-25,82.09,84.94,81.99,84.24
2016-03-28,85.88,86.57,81.82,82.09
2016-03-29,82.5,82.58,79.95,80.46
2016-03-30,80.91,81.96,80.43,81.91
2016-03-31,82.31,84.21,82.31,82.76
2016-04-01,83.17,83.17,81.02,82.07
2016-04-05,81.18,83.0,81.18,82.6
2016-04-06,82.36,83.09,81.99,82.5
2016-04-07,82.66,82.98,80.62,80.75
2016-04-08,80.48,81.37,80.05,80.54
2016-04-11,81.1,81.96,81.02,81.56
2016-04-12,81.56,81.93,81.02,81.72
2016-04-13,82.09,83.38,81.88,82.31
2016-04-14,82.6,83.35,82.36,82.95
2016-04-15,83.03,83.43,82.63,83.06
2016-04-18,83.06,83.06,81.69,82.15
2016-04-19,82.39,82.76,81.56,82.58
2016-04-20,82.58,82.58,79.17,80.16
2016-04-21,79.95,80.7,79.54,79.79
2016-04-22,79.41,82.98,79.3,82.63
2016-04-25,82.63,84.64,82.36,83.7
2016-04-26,83.78,85.02,83.43,84.19
2016-04-27,83.92,84.43,82.95,83.11
2016-04-28,83.49,84.59,81.93,82.58
2016-04-29,83.22,86.55,83.22,86.12
2016-05-03,86.41,91.43,86.39,90.79
2016-05-04,89.34,90.65,87.99,88.42
