date,open,high,low,close
2015-01-05,1193.11,1285.1,1187.26,1274.28
2015-01-06,1258.42,1274.53,1233.38,1244.77
2015-01-07,1233.5,1255.27,1195.44,1214.0
2015-01-08,1220.67,1223.94,1196.38,1206.57
2015-01-09,1198.02,1231.8,1196.19,1197.45
2015-01-12,1195.5,1211.8,1160.64,1173.04
2015-01-13,1176.62,1186.31,1161.52,1163.28
2015-01-14,1164.04,1173.48,1138.12,1152.59
2015-01-15,1157.05,1172.85,1148.18,1170.77
2015-01-16,1171.59,1182.91,1170.2,1171.02
2015-01-19,1138.87,1152.71,1078.91,1104.14
2015-01-20,1107.54,1135.72,1088.53,1120.5
2015-01-21,1121.69,1150.83,1114.96,1147.43
2015-01-22,1147.49,1160.01,1132.58,1140.32
2015-01-23,1133.33,1153.22,1133.27,1139.0
2015-01-26,1143.27,1154.6,1139.18,1150.2
2015-01-27,1150.32,1150.32,1119.99,1133.27
2015-01-28,1126.29,1135.09,1115.59,1116.66
2015-01-29,1108.67,1119.99,1101.12,1108.35
2015-01-30,1113.64,1138.87,1110.56,1114.83
2015-02-02,1104.33,1109.93,1091.68,1099.99
2015-02-03,1116.72,1124.08,1108.67,1122.32
2015-02-04,1127.23,1145.67,1113.7,1115.27
2015-02-05,1126.1,1138.24,1094.83,1095.14
2015-02-06,1098.85,1110.56,1092.31,1098.6
2015-02-09,1105.96,1164.67,1101.12,1159.63
2015-02-10,1162.78,1165.3,1141.7,1150.7
2015-02-11,1147.68,1159.32,1145.67,1152.4
2015-02-12,1157.68,1160.83,1145.23,1155.04
2015-02-13,1158.44,1160.89,1141.39,1148.25
2015-02-16,1148.56,1155.42,1140.25,1153.4
2015-02-17,1154.92,1157.05,1144.6,1146.55
2015-02-25,1151.45,1168.44,1139.56,1157.49
2015-02-26,1156.49,1185.37,1154.92,1174.36
2015-02-27,1175.99,1223.81,1175.36,1202.11
2015-03-02,1200.53,1219.41,1189.21,1200.09
2015-03-03,1191.09,1208.08,1165.05,1170.02
2015-03-04,1176.56,1182.98,1161.52,1177.82
2015-03-05,1164.1,1176.81,1158.06,1167.31
2015-03-06,1166.24,1173.35,1153.15,1155.36
2015-03-09,1169.07,1214.31,1156.49,1205.31
2015-03-10,1201.41,1204.94,1178.38,1181.85
2015-03-11,1181.85,1214.38,1181.66,1207.96
2015-03-12,1214.38,1233.19,1204.31,1212.8
2015-03-13,1212.49,1220.04,1186.56,1194.93
2015-03-16,1195.88,1223.81,1176.69,1219.16
2015-03-17,1226.9,1250.18,1226.27,1238.1
2015-03-18,1238.29,1258.36,1230.23,1254.96
2015-03-19,1249.23,1252.07,1221.05,1228.72
2015-03-20,1221.93,1226.9,1201.04,1215.32
2015-03-23,1224.88,1237.97,1215.63,1227.46
2015-03-24,1228.85,1242.31,1208.71,1231.3
2015-03-25,1214.38,1227.59,1208.46,1212.99
2015-03-26,1217.84,1257.79,1208.08,1249.36
2015-03-27,1245.84,1249.36,1214.06,1224.13
2015-03-30,1224.95,1251.81,1215.0,1238.1
2015-03-31,1237.53,1263.27,1220.79,1233.0
2015-04-01,1233.44,1243.07,1223.69,1229.1
2015-04-02,1233.0,1243.32,1213.62,1224.32
2015-04-03,1220.67,1239.61,1212.99,1238.35
2015-04-07,1238.6,1265.22,1231.99,1262.64
2015-04-08,1274.15,1325.62,1268.42,1286.73
2015-04-09,1286.61,1295.42,1252.44,1258.42
2015-04-10,1258.36,1277.23,1255.97,1259.8
2015-04-13,1268.17,1286.67,1251.75,1282.96
2015-04-14,1283.59,1316.81,1283.34,1296.17
2015-04-15,1315.68,1319.96,1284.6,1294.29
2015-04-16,1312.22,1423.71,1307.69,1423.71
2015-04-17,1503.18,1564.85,1436.36,1463.29
2015-04-20,1447.18,1545.97,1440.89,1472.54
2015-04-21,1510.1,1619.78,1510.1,1619.78
2015-04-22,1691.32,1692.58,1617.76,1660.42
2015-04-23,1661.11,1662.18,1591.78,1611.03
2015-04-24,1584.85,1633.93,1541.63,1626.45
2015-04-27,1620.72,1685.02,1591.84,1609.46
2015-04-28,1598.19,1627.14,1554.46,1559.75
2015-04-29,1548.49,1591.9,1548.49,1571.64
2015-04-30,1580.26,1603.86,1558.87,1587.06
2015-05-04,1589.76,1629.65,1573.15,1604.3
2015-05-05,1585.61,1585.61,1509.35,1516.08
2015-05-06,1535.15,1554.09,1510.17,1526.97
2015-05-07,1541.56,1584.85,1526.21,1541.12
2015-05-08,1548.61,1603.73,1547.23,1599.26
2015-05-11,1582.46,1623.3,1573.03,1619.84
2015-05-12,1618.33,1618.33,1585.61,1600.84
2015-05-13,1596.94,1654.63,1588.76,1613.29
2015-05-14,1612.35,1632.8,1580.7,1581.9
2015-05-15,1581.9,1594.98,1520.23,1542.63
2015-05-18,1541.56,1541.56,1510.73,1517.28
2015-05-19,1516.71,1574.41,1511.36,1573.28
2015-05-20,1585.61,1635.95,1568.62,1597.88
2015-05-21,1610.78,1644.13,1598.26,1627.07
2015-05-22,1633.93,1741.65,1633.37,1735.74
2015-05-25,1698.87,1815.21,1692.58,1804.76
2015-05-26,1803.32,1824.71,1786.7,1796.65
2015-05-27,1796.52,1820.43,1717.74,1742.28
2015-05-28,1731.9,1768.08,1636.58,1642.93
2015-05-29,1636.01,1692.58,1635.25,1660.04
2015-06-01,1660.74,1717.62,1634.69,1708.05
2015-06-02,1702.01,1702.01,1640.1,1677.6
2015-06-03,1668.54,1677.6,1636.01,1653.5
2015-06-04,1654.7,1667.41,1510.1,1624.68
2015-06-05,1624.05,1649.16,1547.86,1597.19
2015-06-08,1582.53,1683.39,1571.77,1665.14
2015-06-09,1667.41,1697.61,1613.92,1629.84
2015-06-10,1608.51,1679.24,1596.94,1642.55
2015-06-11,1635.95,1664.26,1621.91,1636.32
2015-06-12,1649.29,1717.74,1642.24,1673.7
2015-06-15,1679.87,1711.45,1636.45,1641.55
2015-06-16,1629.65,1672.44,1588.76,1597.88
2015-06-17,1597.94,1621.85,1566.73,1605.05
2015-06-18,1592.03,1603.23,1513.88,1535.08
2015-06-19,1547.04,1563.52,1472.48,1480.59
2015-06-23,1508.85,1609.83,1473.17,1587.18
2015-06-24,1573.03,1668.67,1558.24,1643.56
2015-06-25,1645.38,1648.72,1574.35,1584.29
2015-06-26,1573.15,1609.2,1480.53,1525.52
2015-06-29,1562.77,1613.92,1433.34,1551.88
2015-06-30,1551.88,1634.81,1547.86,1621.16
2015-07-01,1604.49,1689.43,1579.19,1620.15
2015-07-02,1606.37,1778.15,1541.63,1637.83
2015-07-03,1604.49,1639.09,1523.95,1571.83
2015-07-06,1685.97,1686.22,1506.96,1598.45
2015-07-07,1573.03,1614.43,1506.96,1536.41
2015-07-08,1440.89,1541.5,1382.75,1490.35
2015-07-09,1490.35,1638.53,1466.06,1622.98
2015-07-10,1617.07,1780.66,1585.36,1671.12
2015-07-13,1623.36,1671.06,1579.32,1621.79
2015-07-14,1604.49,1605.62,1555.41,1567.05
2015-07-15,1557.29,1590.01,1530.74,1580.95
2015-07-16,1580.95,1599.33,1562.08,1583.03
2015-07-17,1613.02,1620.0,1583.02,1608.02
2015-07-20,1599.99,1605.28,1567.24,1585.62
2015-07-21,1561.96,1579.21,1549.63,1561.32
2015-07-22,1549.63,1563.72,1525.54,1529.41
2015-07-23,1535.47,1553.86,1519.83,1546.39
2015-07-24,1553.15,1575.62,1540.82,1544.06
2015-07-27,1528.5,1558.79,1415.8,1419.46
2015-07-28,1407.77,1475.25,1391.0,1449.82
2015-07-29,1463.55,1479.19,1423.76,1463.27
2015-07-30,1470.95,1470.95,1444.68,1450.73
2015-07-31,1455.95,1457.57,1429.89,1456.86
2015-08-03,1443.97,1479.12,1429.89,1476.09
2015-08-04,1473.98,1507.23,1473.98,1493.07
2015-08-05,1499.83,1506.31,1457.64,1459.4
2015-08-06,1452.64,1461.58,1429.89,1443.69
2015-08-07,1461.51,1469.33,1448.2,1457.57
2015-08-10,1458.13,1500.32,1444.89,1495.39
2015-08-11,1495.39,1496.17,1479.26,1484.47
2015-08-12,1479.12,1509.41,1470.39,1475.46
2015-08-13,1489.76,1489.76,1451.02,1475.74
2015-08-14,1482.71,1489.05,1473.91,1479.05
2015-08-17,1465.24,1470.88,1436.93,1452.57
2015-08-18,1457.92,1461.58,1411.22,1416.22
2015-08-19,1406.99,1423.97,1395.93,1420.16
2015-08-20,1414.6,1415.8,1372.83,1374.03
2015-08-21,1349.02,1372.55,1310.99,1312.47
2015-08-24,1274.92,1278.44,1184.76,1194.91
2015-08-25,1179.55,1285.56,1170.67,1243.86
2015-08-26,1245.06,1327.75,1232.66,1295.21
2015-08-27,1338.32,1408.05,1302.32,1388.12
2015-08-28,1373.54,1375.58,1318.1,1356.98
2015-08-31,1333.67,1377.06,1304.37,1376.14
2015-09-01,1351.14,1373.54,1324.23,1369.1
2015-09-02,1339.09,1373.54,1332.68,1370.79
2015-09-07,1356.63,1366.49,1328.81,1329.23
2015-09-08,1327.47,1341.63,1303.1,1333.53
2015-09-09,1339.3,1365.58,1339.3,1351.42
2015-09-10,1340.99,1361.56,1332.26,1360.93
2015-09-11,1351.56,1367.2,1345.71,1358.81
2015-09-14,1355.43,1428.48,1323.52,1426.57
2015-09-15,1394.74,1422.98,1374.38,1422.84
2015-09-16,1408.82,1475.95,1392.76,1440.8
2015-09-17,1427.07,1449.61,1391.92,1394.67
2015-09-18,1398.89,1415.02,1394.67,1404.74
2015-09-21,1394.74,1413.68,1394.67,1403.82
2015-09-22,1414.18,1417.07,1401.57,1403.61
2015-09-23,1388.68,1401.64,1367.2,1371.56
2015-09-24,1379.17,1382.55,1358.04,1366.49
2015-09-25,1366.42,1372.83,1334.79,1362.69
2015-09-28,1348.74,1354.52,1332.89,1348.04
2015-09-29,1335.15,1347.97,1326.34,1339.51
2015-09-30,1339.94,1348.74,1339.51,1340.5
2015-10-08,1400.16,1419.88,1387.62,1391.29
2015-10-09,1400.16,1401.01,1384.1,1387.27
2015-10-12,1401.71,1440.38,1393.61,1395.3
2015-10-13,1395.3,1409.39,1395.3,1399.88
2015-10-14,1401.57,1405.23,1387.69,1393.47
2015-10-15,1395.79,1411.36,1391.57,1408.68
2015-10-16,1417.35,1425.66,1404.6,1413.97
2015-10-19,1443.55,1443.55,1422.14,1427.91
2015-10-20,1422.98,1429.04,1417.07,1422.63
2015-10-21,1423.4,1426.72,1387.69,1410.94
2015-10-22,1410.44,1427.98,1404.74,1426.57
2015-10-23,1449.61,1532.72,1447.85,1486.09
2015-10-26,1493.28,1537.65,1465.1,1533.64
2015-10-27,1529.2,1533.29,1497.36,1516.17
2015-10-28,1514.34,1514.34,1492.57,1496.38
2015-10-29,1493.28,1512.93,1493.28,1500.32
2015-10-30,1499.97,1520.05,1494.12,1506.38
2015-11-02,1511.59,1520.47,1496.8,1497.22
2015-11-03,1499.76,1519.76,1467.92,1477.15
2015-11-04,1483.28,1521.45,1479.97,1514.27
2015-11-05,1511.59,1572.73,1503.84,1525.4
2015-11-06,1530.96,1539.77,1518.36,1538.5
2015-11-09,1563.72,1582.45,1542.59,1555.48
2015-11-10,1549.63,1578.65,1543.71,1566.39
2015-11-11,1563.79,1570.76,1539.77,1550.69
2015-11-12,1551.25,1570.76,1545.26,1549.7
2015-11-13,1536.25,1546.11,1513.21,1515.19
2015-11-16,1496.8,1524.98,1493.28,1505.82
2015-11-17,1512.44,1532.02,1501.31,1509.9
2015-11-18,1504.48,1521.45,1504.48,1512.02
2015-11-19,1507.37,1521.45,1506.66,1514.62
2015-11-20,1515.4,1519.9,1501.03,1505.39
2015-11-23,1500.32,1506.24,1496.87,1497.65
2015-11-24,1496.03,1502.3,1479.19,1491.1
2015-11-25,1491.17,1500.32,1482.01,1500.18
2015-11-26,1503.77,1505.89,1492.08,1499.2
2015-11-27,1496.73,1497.08,1455.45,1463.27
2015-11-30,1465.39,1512.86,1463.62,1509.55
2015-12-01,1500.32,1507.01,1486.24,1505.96
2015-12-02,1510.75,1598.94,1493.28,1560.76
2015-12-03,1542.59,1559.49,1526.38,1553.08
2015-12-04,1549.35,1549.35,1514.48,1516.59
2015-12-07,1514.41,1528.36,1501.73,1510.96
2015-12-08,1511.24,1511.24,1489.48,1492.86
2015-12-09,1490.32,1514.76,1489.76,1510.68
2015-12-10,1514.41,1522.86,1493.21,1500.04
2015-12-11,1496.8,1496.8,1482.71,1489.12
2015-12-14,1480.53,1513.57,1472.15,1508.07
2015-12-15,1505.96,1511.52,1493.84,1510.96
2015-12-16,1510.25,1511.87,1497.44,1506.73
2015-12-17,1510.11,1527.65,1507.37,1520.47
2015-12-18,1517.93,1543.64,1515.19,1527.65
2015-12-21,1535.54,1614.29,1535.54,1599.15
2015-12-22,1597.53,1597.53,1572.73,1585.06
2015-12-23,1588.02,1596.75,1568.65,1570.76
2015-12-24,1577.66,1589.64,1572.17,1583.3
2015-12-25,1584.85,1589.5,1569.92,1581.33
2015-12-28,1588.23,1591.89,1542.59,1543.43
2015-12-29,1539.91,1552.73,1539.13,1548.43
2015-12-30,1550.9,1554.28,1532.16,1541.6
2015-12-31,1537.09,1546.11,1534.27,1536.88
2016-01-04,1535.54,1535.54,1479.12,1479.33
2016-01-05,1479.19,1507.16,1461.65,1499.06
2016-01-06,1498.77,1504.97,1474.26,1494.55
2016-01-07,1472.08,1472.08,1408.97,1424.46
2016-01-08,1438.13,1465.1,1408.75,1441.37
2016-01-11,1431.01,1435.45,1404.53,1407.77
2016-01-12,1416.5,1423.55,1380.58,1386.14
2016-01-13,1402.41,1451.02,1398.89,1407.2
2016-01-14,1388.4,1450.88,1377.13,1442.7
2016-01-15,1442.21,1452.28,1394.67,1401.71
2016-01-18,1394.67,1425.66,1389.03,1404.74
